County,GeoID
Alameda County,06001
Contra Costa County,06013
Del Norte County,06015
Humboldt County ,06023
Lake County,06033
Los Angeles County,06037
Marin County,06041
Mendocino County,06045
Monterey County,06053
Napa County,06055
Orange County,06059
Sacramento County,06067
San Benito County,06069
San Diego County,06073
San Francisco County,06075
San Joaquin County,06077
San Luis Obispo County,06079
San Mateo County,06081
Santa Barbara County,06083
Santa Clara County,06085
Santa Cruz County,06087
Solano County,06095
Sonoma County,06097
Sutter County,06101
Trinity County,06105
Ventura County,06111
Yolo County,06113